productId,itemId,vendoritems,产品名称,产品缩略图,销售价,折扣,市场价,每毫升单价,评论数,品牌,品牌链接,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业,化妆品销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,流通公司名称,流通公司营业执照号码,流通公司通信销售申告号码,流通公司地址,流通公司邮箱,流通公司联系人,流通公司联系电话,流通公司&法人姓名,当前网址,当前时间
5735830650,9639246678,76923492094,향기 냄새 보습력 좋은 순한 촉촉한 고보습 약산성 천연 대용량 바디로션 500ml 1개 향 오래가는 등드름 등 등 끈적임없는 보습제 남자 명품 퍼퓸 겨울 피부 극건성 모공각화증,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc37/2036c4f0fff95eda78c211a325148b8d2ea9158175859d7aba931741bfc4.png,"38,700",55%,"87,000원",,41개 상품평,,,500ml,"모든 피부용 - 건성,중건성,지성,민감성,지복합성",2024.10.19,샤워 후 물기를 제거하고 적당량을 덜어 전신에 골고루 펴 발라 흡수시켜 줍니다.,미도화장품,미도화장품,대한민국,"정제수,글리세린,아이소프로필미리스테이트,세틸알코올,스테아릭애씨드,1-2헥산다이올,글리세릴스테아레이트,폴리솔베이트60,피이지-100스테아레이트,다이메티콘,부틸렌글라이콜,우유(3000ppm),뽕나무껍질추출물,병풀추출물,소듐하이알루로네이트,동백나무씨오일,올리브오일,알란토인,카보머,트라이에탄올아민,향료,다이소듐이디티에이,벤질벤조에이트,부틸메닐메틸프로피오날,리모넨,리날룰",해당사항없음,"1. 화장품 사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것",제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,080-900-7890,유로물산,607-15-96785,2017-부산동래-0433,부산광역시 동래구 충렬대로335번길 8 지하1층 (안락동),hansaeng119@naver.com,권민철,051-507-0900,유로물산 / 권민철,https://www.coupang.com/vp/products/5735830650?itemId=9639246678&searchId=8c712519cb0e4b659cc24325f95a56dc&vendorItemId=76923492094&sourceType=SDP_BOTTOM_ADS&clickEventId=9957826d-6e3f-4d42-bfff-3a6f6f7aa6ef&isAddedCart=,2021-12-22 14:37:19
productId,itemId,vendoritems,产品名称,产品缩略图,销售价,折扣,市场价,每毫升单价,评论数,品牌,品牌链接,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业,化妆品销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,流通公司名称,流通公司营业执照号码,流通公司通信销售申告号码,流通公司地址,流通公司邮箱,流通公司联系人,流通公司联系电话,流通公司&法人姓名,当前网址,当前时间
5735830650,9639246678,76923492094,향기 냄새 보습력 좋은 순한 촉촉한 고보습 약산성 천연 대용량 바디로션 500ml 1개 향 오래가는 등드름 등 등 끈적임없는 보습제 남자 명품 퍼퓸 겨울 피부 극건성 모공각화증,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc37/2036c4f0fff95eda78c211a325148b8d2ea9158175859d7aba931741bfc4.png,"38,700",55%,"87,000원",,41개 상품평,,,500ml,"모든 피부용 - 건성,중건성,지성,민감성,지복합성",2024.10.19,샤워 후 물기를 제거하고 적당량을 덜어 전신에 골고루 펴 발라 흡수시켜 줍니다.,미도화장품,미도화장품,대한민국,"정제수,글리세린,아이소프로필미리스테이트,세틸알코올,스테아릭애씨드,1-2헥산다이올,글리세릴스테아레이트,폴리솔베이트60,피이지-100스테아레이트,다이메티콘,부틸렌글라이콜,우유(3000ppm),뽕나무껍질추출물,병풀추출물,소듐하이알루로네이트,동백나무씨오일,올리브오일,알란토인,카보머,트라이에탄올아민,향료,다이소듐이디티에이,벤질벤조에이트,부틸메닐메틸프로피오날,리모넨,리날룰",해당사항없음,"1. 화장품 사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것",제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,080-900-7890,유로물산,607-15-96785,2017-부산동래-0433,부산광역시 동래구 충렬대로335번길 8 지하1층 (안락동),hansaeng119@naver.com,권민철,051-507-0900,유로물산 / 권민철,https://www.coupang.com/vp/products/5735830650?itemId=9639246678&searchId=8c712519cb0e4b659cc24325f95a56dc&vendorItemId=76923492094&sourceType=SDP_BOTTOM_ADS&clickEventId=9957826d-6e3f-4d42-bfff-3a6f6f7aa6ef&isAddedCart=,2021-12-22 14:38:37
productId,itemId,vendoritems,产品名称,产品缩略图,销售价,折扣,市场价,每毫升单价,评论数,品牌,品牌链接,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业,化妆品销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,流通公司名称,流通公司营业执照号码,流通公司通信销售申告号码,流通公司地址,流通公司邮箱,流通公司联系人,流通公司联系电话,流通公司&法人姓名,当前网址,当前时间
5735830650,9639246678,76923492094,향기 냄새 보습력 좋은 순한 촉촉한 고보습 약산성 천연 대용량 바디로션 500ml 1개 향 오래가는 등드름 등 등 끈적임없는 보습제 남자 명품 퍼퓸 겨울 피부 극건성 모공각화증,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc37/2036c4f0fff95eda78c211a325148b8d2ea9158175859d7aba931741bfc4.png,"38,700",55%,"87,000원",,41개 상품평,,,500ml,"모든 피부용 - 건성,중건성,지성,민감성,지복합성",2024.10.19,샤워 후 물기를 제거하고 적당량을 덜어 전신에 골고루 펴 발라 흡수시켜 줍니다.,미도화장품,미도화장품,대한민국,"정제수,글리세린,아이소프로필미리스테이트,세틸알코올,스테아릭애씨드,1-2헥산다이올,글리세릴스테아레이트,폴리솔베이트60,피이지-100스테아레이트,다이메티콘,부틸렌글라이콜,우유(3000ppm),뽕나무껍질추출물,병풀추출물,소듐하이알루로네이트,동백나무씨오일,올리브오일,알란토인,카보머,트라이에탄올아민,향료,다이소듐이디티에이,벤질벤조에이트,부틸메닐메틸프로피오날,리모넨,리날룰",해당사항없음,"1. 화장품 사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것",제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,080-900-7890,유로물산,607-15-96785,2017-부산동래-0433,부산광역시 동래구 충렬대로335번길 8 지하1층 (안락동),hansaeng119@naver.com,권민철,051-507-0900,유로물산 / 권민철,https://www.coupang.com/vp/products/5735830650?itemId=9639246678&searchId=8c712519cb0e4b659cc24325f95a56dc&vendorItemId=76923492094&sourceType=SDP_BOTTOM_ADS&clickEventId=9957826d-6e3f-4d42-bfff-3a6f6f7aa6ef&isAddedCart=,2021-12-22 14:38:48
productId,itemId,vendoritems,产品名称,产品缩略图,销售价,折扣,市场价,每毫升单价,评论数,品牌,品牌链接,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业,化妆品销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,流通公司名称,流通公司营业执照号码,流通公司通信销售申告号码,流通公司地址,流通公司邮箱,流通公司联系人,流通公司联系电话,流通公司&法人姓名,当前网址,当前时间
5735830650,9639246678,76923492094,향기 냄새 보습력 좋은 순한 촉촉한 고보습 약산성 천연 대용량 바디로션 500ml 1개 향 오래가는 등드름 등 등 끈적임없는 보습제 남자 명품 퍼퓸 겨울 피부 극건성 모공각화증,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc37/2036c4f0fff95eda78c211a325148b8d2ea9158175859d7aba931741bfc4.png,"38,700",55%,"87,000원",,41개 상품평,,,500ml,"모든 피부용 - 건성,중건성,지성,민감성,지복합성",2024.10.19,샤워 후 물기를 제거하고 적당량을 덜어 전신에 골고루 펴 발라 흡수시켜 줍니다.,미도화장품,미도화장품,대한민국,"정제수,글리세린,아이소프로필미리스테이트,세틸알코올,스테아릭애씨드,1-2헥산다이올,글리세릴스테아레이트,폴리솔베이트60,피이지-100스테아레이트,다이메티콘,부틸렌글라이콜,우유(3000ppm),뽕나무껍질추출물,병풀추출물,소듐하이알루로네이트,동백나무씨오일,올리브오일,알란토인,카보머,트라이에탄올아민,향료,다이소듐이디티에이,벤질벤조에이트,부틸메닐메틸프로피오날,리모넨,리날룰",해당사항없음,"1. 화장품 사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것",제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,080-900-7890,유로물산,607-15-96785,2017-부산동래-0433,부산광역시 동래구 충렬대로335번길 8 지하1층 (안락동),hansaeng119@naver.com,권민철,051-507-0900,유로물산 / 권민철,https://www.coupang.com/vp/products/5735830650?itemId=9639246678&searchId=8c712519cb0e4b659cc24325f95a56dc&vendorItemId=76923492094&sourceType=SDP_BOTTOM_ADS&clickEventId=9957826d-6e3f-4d42-bfff-3a6f6f7aa6ef&isAddedCart=,2021-12-22 14:44:04
productId,itemId,vendoritems,产品名称,产品缩略图,销售价,折扣,市场价,每毫升单价,评论数,品牌,品牌链接,容量重量,适合肌肤类型,流通期限,使用方法,化妆品制造企业,化妆品销售企业,制造国家,成分,功能性化妆品,使用注意事项,品质保证基准,售后服务电话,流通公司名称,流通公司营业执照号码,流通公司通信销售申告号码,流通公司地址,流通公司邮箱,流通公司联系人,流通公司联系电话,流通公司&法人姓名,当前网址,当前时间
5735830650,9639246678,76923492094,향기 냄새 보습력 좋은 순한 촉촉한 고보습 약산성 천연 대용량 바디로션 500ml 1개 향 오래가는 등드름 등 등 끈적임없는 보습제 남자 명품 퍼퓸 겨울 피부 극건성 모공각화증,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc37/2036c4f0fff95eda78c211a325148b8d2ea9158175859d7aba931741bfc4.png,"38,700",55%,"87,000원",,41개 상품평,,,500ml,"모든 피부용 - 건성,중건성,지성,민감성,지복합성",2024.10.19,샤워 후 물기를 제거하고 적당량을 덜어 전신에 골고루 펴 발라 흡수시켜 줍니다.,미도화장품,미도화장품,대한민국,"정제수,글리세린,아이소프로필미리스테이트,세틸알코올,스테아릭애씨드,1-2헥산다이올,글리세릴스테아레이트,폴리솔베이트60,피이지-100스테아레이트,다이메티콘,부틸렌글라이콜,우유(3000ppm),뽕나무껍질추출물,병풀추출물,소듐하이알루로네이트,동백나무씨오일,올리브오일,알란토인,카보머,트라이에탄올아민,향료,다이소듐이디티에이,벤질벤조에이트,부틸메닐메틸프로피오날,리모넨,리날룰",해당사항없음,"1. 화장품 사용시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것. 2. 상처가 있는 부위 등에는 사용을 자제할 것. 3. 보관 및 취급 시의 주의사항 1) 어린이의 손이 닿지 않는 곳에 보관할 것 2) 직사광선을 피해서 보관할 것",제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,080-900-7890,유로물산,607-15-96785,2017-부산동래-0433,부산광역시 동래구 충렬대로335번길 8 지하1층 (안락동),hansaeng119@naver.com,권민철,051-507-0900,유로물산 / 권민철,https://www.coupang.com/vp/products/5735830650?itemId=9639246678&searchId=8c712519cb0e4b659cc24325f95a56dc&vendorItemId=76923492094&sourceType=SDP_BOTTOM_ADS&clickEventId=9957826d-6e3f-4d42-bfff-3a6f6f7aa6ef&isAddedCart=,2021-12-22 14:45:20
